rel_tol,trial,avg_snr,avg_ssim,std_snr,std_ssim
0.01,1,16.557606,0.6723812706052069,1.051327,0.050278544653949514
0.01,2,16.687288,0.6778153624221777,1.2039499,0.05636501459433781
0.01,3,16.548231,0.6702645859593278,0.91135025,0.05438294014672316
0.01,4,16.297054,0.6661423049097003,1.2011905,0.057001503182671324
0.01,5,16.896404,0.6820288285917036,1.3913146,0.05536955710058861
0.005,1,17.048817,0.6944777185808433,1.181522,0.05649014196059062
0.005,2,17.095715,0.6948156294970017,1.1835235,0.03956500075019499
0.005,3,16.849316,0.6893649912840369,1.2004869,0.06025338745940866
0.005,4,16.751774,0.680522408402521,1.195582,0.057144914484385766
0.005,5,16.821396,0.6903684183162238,1.0663053,0.04187685952391023
0.001,1,16.834255,0.688695667488069,1.4244703,0.05600547735698705
0.001,2,16.64796,0.6853025817219073,1.3475012,0.0450547753386663
0.001,3,16.894201,0.6922918867922416,1.2713084,0.05693624727416172
0.001,4,16.96878,0.6939669920549326,1.4100012,0.0537342031217971
0.001,5,17.283733,0.7002952868311698,1.06369,0.035610720568261735
0.0005,1,16.89661,0.6937355042960041,1.1187884,0.047944162864560574
0.0005,2,16.788778,0.6914546951692151,1.3432772,0.05192649853499661
0.0005,3,16.523977,0.683008706915621,1.4704378,0.05007631515679492
0.0005,4,16.783794,0.6919146069273228,1.1058475,0.04032025095623425
0.0005,5,16.745665,0.6906639837961113,1.2580901,0.04376543293022449
0.0001,1,16.91856,0.6944786951700473,1.0373877,0.04860150789658668
0.0001,2,16.811314,0.6901127775081017,1.3575428,0.044756842541610845
0.0001,3,17.284033,0.7060072792937526,0.97161645,0.04595960609653186
0.0001,4,16.969439,0.7000582416350443,1.0587391,0.03050294670586497
0.0001,5,16.77671,0.6904779045458617,1.0625014,0.04417672257266554
5e-05,1,17.07426,0.7010368792995603,1.3699315,0.04403772061290849
5e-05,2,17.183252,0.7010387031502822,1.1689739,0.04160989080894587
5e-05,3,17.133738,0.7001065280482516,1.4374704,0.05049331311981787
5e-05,4,16.925825,0.6924865330228369,1.0312198,0.05341996304184516
5e-05,5,16.809124,0.6918846252288682,1.2639515,0.055533538390105365
1e-05,1,16.6755,0.6866524630330966,0.9782733,0.04465722419858629
1e-05,2,17.006584,0.6977213686549235,1.0924519,0.04188953345161698
1e-05,3,17.301695,0.7055960873774816,1.2403585,0.05365446504646172
1e-05,4,16.850063,0.6959295197658699,1.2486969,0.05070480369295093
1e-05,5,17.04137,0.6986437745960171,1.0896766,0.04030540660628859
