image,snr,ssim,time_seconds
file1000000_15.tiff,16.168468,0.7677659142146547,0.40531301498413086
file1000031_14.tiff,15.548577,0.6683373912481656,0.2577352523803711
file1000033_15.tiff,17.584415,0.7329460057331805,0.4933922290802002
file1000041_25.tiff,13.006497,0.5327726501241491,0.5319478511810303
file1000073_15.tiff,16.777424,0.7292142575591578,0.23583221435546875
file1000108_21.tiff,17.57776,0.6798937740971622,0.17938494682312012
file1000126_14.tiff,15.949852,0.7136604502177334,0.4474906921386719
file1000182_15.tiff,17.413898,0.6949859978408331,0.22655391693115234
file1000243_15.tiff,14.361418,0.6163031197211599,0.6178615093231201
file1000277_15.tiff,17.270636,0.6989697170105188,0.20666837692260742
file1001168_15.tiff,15.4072275,0.5987914467078114,0.16276121139526367
file1001184_15.tiff,18.680563,0.7581370320193407,0.25650739669799805
file1001191_16.tiff,16.142572,0.6896496482947123,0.494915246963501
file1001221_15.tiff,16.451363,0.6238728680198131,0.6746113300323486
file1001289_15.tiff,15.803049,0.6702905409826682,0.27162671089172363
file1001338_15.tiff,17.737494,0.7588142144855604,0.40253567695617676
file1001344_15.tiff,17.311888,0.7165587498834565,0.21336841583251953
file1001381_15.tiff,17.015593,0.6792284693667267,0.42572450637817383
file1001444_16.tiff,19.154018,0.716634822150363,0.1701059341430664
file1001585_16.tiff,16.721241,0.6805044974968436,0.18301653861999512
